Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,symmetric,0.9099999999999999,0.4332447276295286
75% Corpus,8,symmetric,symmetric,0.322015996036627
75% Corpus,8,asymmetric,0.01,0.33696498214127235
75% Corpus,8,asymmetric,0.31,0.4555064873852418
75% Corpus,8,asymmetric,0.61,0.49745316169146375
75% Corpus,8,asymmetric,0.9099999999999999,0.4851570022279943
75% Corpus,8,asymmetric,symmetric,0.4592217063957653
75% Corpus,9,0.01,0.01,0.33371069192117553
75% Corpus,9,0.01,0.31,0.37266235864851616
75% Corpus,9,0.01,0.61,0.46192600471491485
75% Corpus,9,0.01,0.9099999999999999,0.42486592131961254
75% Corpus,9,0.01,symmetric,0.32169933212270935
75% Corpus,9,0.31,0.01,0.34923460701990455
75% Corpus,9,0.31,0.31,0.4192195126350538
75% Corpus,9,0.31,0.61,0.44733497127232347
75% Corpus,9,0.31,0.9099999999999999,0.4489471543543248
75% Corpus,9,0.31,symmetric,0.35402334464782065
75% Corpus,9,0.61,0.01,0.32358850070323886
75% Corpus,9,0.61,0.31,0.3232259672577088
75% Corpus,9,0.61,0.61,0.4278309528182682
75% Corpus,9,0.61,0.9099999999999999,0.4172704775627327
75% Corpus,9,0.61,symmetric,0.31462800651504597
75% Corpus,9,0.9099999999999999,0.01,0.30610422480873767
75% Corpus,9,0.9099999999999999,0.31,0.3446564057943721
75% Corpus,9,0.9099999999999999,0.61,0.3790530430356733
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.43326998218134033
75% Corpus,9,0.9099999999999999,symmetric,0.28877167652067987
75% Corpus,9,symmetric,0.01,0.34277234749511365
75% Corpus,9,symmetric,0.31,0.35333988860257287
75% Corpus,9,symmetric,0.61,0.5002177748216388
75% Corpus,9,symmetric,0.9099999999999999,0.4305865147422691
75% Corpus,9,symmetric,symmetric,0.3909094575930509
75% Corpus,9,asymmetric,0.01,0.33789120597481426
75% Corpus,9,asymmetric,0.31,0.5106808753901627
75% Corpus,9,asymmetric,0.61,0.5135391977774221
75% Corpus,9,asymmetric,0.9099999999999999,0.4516979235541208
75% Corpus,9,asymmetric,symmetric,0.4625063712777852
75% Corpus,10,0.01,0.01,0.3628481493755756
75% Corpus,10,0.01,0.31,0.4255152880860716
75% Corpus,10,0.01,0.61,0.42956306495089186
75% Corpus,10,0.01,0.9099999999999999,0.4048009949685046
75% Corpus,10,0.01,symmetric,0.3733650340075666
75% Corpus,10,0.31,0.01,0.31992771573449164
75% Corpus,10,0.31,0.31,0.42488793247147355
75% Corpus,10,0.31,0.61,0.46785129631718236
